comparison,outcome,OR,CI_lo,CI_hi,p,n,n_events,sensitivity,note
Insulin vs Metformin,composite_90d,2.197,1.296,4.08,0.012,281,82,180d_window,
Insulin vs Metformin,postop_opioid,1.679,0.949,3.231,0.08,281,222,180d_window,
OtherDM vs Metformin,composite_90d,3.282,1.566,7.394,0.008,155,42,180d_window,
OtherDM vs Metformin,postop_opioid,4.412,1.792,19.674,0.008,155,123,180d_window,
DietControlled vs Metformin,composite_90d,1.426,0.881,2.37,0.156,747,205,180d_window,
DietControlled vs Metformin,postop_opioid,0.382,0.203,0.625,0.002,747,464,180d_window,
Insulin vs Metformin,composite_90d,1.648,0.703,4.628,0.276,117,30,subgroup_THA,
OtherDM vs Metformin,composite_90d,2.67,0.764,10.46,0.116,66,16,subgroup_THA,
DietControlled vs Metformin,composite_90d,1.391,0.71,3.785,0.352,270,72,subgroup_THA,
Insulin vs Metformin,composite_90d,2.349,1.195,5.07,0.008,188,57,subgroup_TKA,
OtherDM vs Metformin,composite_90d,4.264,1.662,12.736,0.012,101,28,subgroup_TKA,
DietControlled vs Metformin,composite_90d,1.614,0.883,3.439,0.124,458,128,subgroup_TKA,
Insulin vs Metformin,composite_90d,2.158,1.297,4.115,0.002,305,87,active_rx_only,
Insulin vs Metformin,postop_opioid,1.494,0.8,2.737,0.244,305,242,active_rx_only,
OtherDM vs Metformin,composite_90d,3.718,1.736,9.114,0.002,167,44,active_rx_only,
OtherDM vs Metformin,postop_opioid,3.348,1.371,11.115,0.004,167,133,active_rx_only,
Insulin vs Metformin,vte_90d,,,,,305,4,component_vte_90d,<5 events (n_events=4)
OtherDM vs Metformin,vte_90d,,,,,167,0,component_vte_90d,<5 events (n_events=0)
DietControlled vs Metformin,vte_90d,4.474,2.38,8.233,0.002,728,7,component_vte_90d,
Insulin vs Metformin,readmit_90d,1.849,1.024,3.749,0.044,305,58,component_readmit_90d,
OtherDM vs Metformin,readmit_90d,4.358,2.148,11.974,0.004,167,35,component_readmit_90d,
DietControlled vs Metformin,readmit_90d,1.575,0.965,2.97,0.08,728,139,component_readmit_90d,
Insulin vs Metformin,ed_90d,1.942,1.004,4.371,0.048,305,40,component_ed_90d,
OtherDM vs Metformin,ed_90d,1.061,0.211,3.057,0.972,167,13,component_ed_90d,
DietControlled vs Metformin,ed_90d,1.274,0.631,2.876,0.468,728,77,component_ed_90d,
