Var,Metformin,Insulin,OtherDM,DietControlled
N,121,184,46,607
Age,63.0 ± 8.1,62.6 ± 8.0,58.5 ± 9.3,61.6 ± 9.5
BMI,35.3 ± 6.3,34.4 ± 6.7,36.7 ± 7.7,33.7 ± 6.4
HbA1c,6.6 ± 0.8,6.9 ± 1.2,6.7 ± 1.3,6.0 ± 0.6
DM dur (yr),2.2 ± 3.7,2.5 ± 4.2,1.7 ± 4.5,0.8 ± 2.3
Outpt vis,31.3 ± 36.4,42.9 ± 54.3,48.2 ± 58.7,25.8 ± 32.1
Inpt vis,0.5 ± 1.8,1.6 ± 4.8,2.5 ± 5.5,0.7 ± 2.5
ED vis,0.6 ± 2.5,0.8 ± 2.1,0.2 ± 0.5,0.5 ± 1.8
Female,75 (62.0%),104 (56.5%),33 (71.7%),375 (61.8%)
TKA,73 (60.3%),115 (62.5%),28 (60.9%),385 (63.4%)
HTN,90 (74.4%),142 (77.2%),30 (65.2%),390 (64.3%)
--- Outcomes ---,,,,
Composite 90d,23 (19.0%),64 (34.8%),21 (45.7%),177 (29.2%)
Postop opioid,91 (75.2%),151 (82.1%),42 (91.3%),361 (59.5%)
